probeset,human1,human2,human3,human4,chimp1,chimp2,chimp3,chimp4
1552818_a_at,2.0704828812026,2.11578531642696,2.00571874326298,1.89710944877431,1.96148483502807,1.97060217667132,1.93815455749278,2.01457207068875
1552819_at,2.20390437851759,1.98372561472589,2.07431481117274,2.23961812986083,2.14060577616333,2.1418821830843,2.45571392417304,2.26478910563175
1552822_at,3.01565389482631,2.98952729795338,3.04957428215967,2.6005356794454,3.01132693196746,2.95043332559623,3.20370282381208,2.95970689293882
1552825_at,4.06401706703497,3.83868177065101,4.05102910062157,4.00296112137072,4.3395308586925,4.07007913912103,4.11959157649705,4.13113508478529
1552826_at,1.88580981319648,2.01221435885972,1.97129409609623,1.93275740559422,2.09303489079787,2.27768706211547,1.94460878699676,2.020715128051
1552827_s_at,3.26804109834057,3.29633416388493,3.3826195271535,3.21671506635933,3.21484232327355,3.42157820949888,3.11295218910938,3.56506437481255
1552828_at,2.8427576533336,2.67045880748942,2.94638134641297,2.99390491370728,3.1753855236634,3.27948358145675,3.32111409702875,3.08564796572797
1552829_at,2.43851619272139,2.48361715402179,2.64853341450479,2.5955958295543,2.57980242142546,2.59281106106816,2.66871208265525,2.6243242123447
1552830_at,2.92094508131141,3.03244027791822,2.84125874856722,2.91623164374405,3.1583870165465,2.9141857126859,3.09329483417295,3.06227438008112
1552833_at,2.13645078861963,2.20903192657054,2.21758506990404,2.17616916951426,2.24060011980674,2.10390052014219,2.41215300350162,2.23809659156856
1552834_at,3.31999298631042,3.28583519581155,3.28417800028931,3.71209398327775,3.44957907116456,3.47587127704886,3.21536216744821,3.47421408152662
1552835_at,3.05234714164279,2.59281106106816,2.79548232955843,2.89775773698277,2.99502779579769,3.0294051580525,2.80193355487241,2.71238230584619
1552836_at,8.81927782964973,8.63888783901931,8.13121855718113,8.60832037921122,9.59729000188628,9.45086313264513,9.42300370503176,9.62697193107213
1552837_at,3.01613133813008,2.9091202269789,3.25556823864827,2.74711540511008,3.44631683174613,3.38944453706915,2.86115693771222,3.2611686859262
